,precision,recall,f1-score,support
allspice,0.0,0.0,0.0,0.0
almond,0.2,1.0,0.3333333333333333,1.0
angelica,0.5,0.5,0.5,2.0
apple,0.0,0.0,0.0,0.0
asparagus,0.0,0.0,0.0,1.0
avocado,0.0,0.0,0.0,5.0
banana,0.0,0.0,0.0,0.0
brazil_nut,0.5,1.0,0.6666666666666666,1.0
broccoli,1.0,0.3333333333333333,0.5,3.0
brussel_sprouts,0.0,0.0,0.0,2.0
cabbage,1.0,1.0,1.0,1.0
cashew,0.0,0.0,0.0,1.0
cauliflower,0.5,0.5,0.5,2.0
chamomile,0.0,0.0,0.0,1.0
chervil,0.0,0.0,0.0,0.0
chestnuts,0.0,0.0,0.0,0.0
chives,0.0,0.0,0.0,0.0
cinnamon,0.0,0.0,0.0,1.0
cloves,1.0,1.0,1.0,1.0
coriander,0.0,0.0,0.0,1.0
cumin,0.25,1.0,0.4,1.0
dill,0.0,0.0,0.0,1.0
garlic,0.0,0.0,0.0,1.0
ginger,0.0,0.0,0.0,1.0
hazelnut,0.0,0.0,0.0,1.0
kiwi,0.0,0.0,0.0,2.0
lemon,0.0,0.0,0.0,2.0
mandarin_orange,0.0,0.0,0.0,0.0
mango,0.0,0.0,0.0,1.0
mint,0.0,0.0,0.0,1.0
mugwort,0.0,0.0,0.0,1.0
mustard,0.0,0.0,0.0,0.0
nutmeg,0.5,1.0,0.6666666666666666,1.0
oregano,0.0,0.0,0.0,3.0
peach,0.3333333333333333,1.0,0.5,1.0
peanuts,0.0,0.0,0.0,2.0
pear,0.0,0.0,0.0,3.0
pecans,0.0,0.0,0.0,3.0
pili_nut,0.0,0.0,0.0,0.0
pineapple,0.5,1.0,0.6666666666666666,1.0
pistachios,0.0,0.0,0.0,1.0
potato,0.0,0.0,0.0,0.0
radish,0.5,1.0,0.6666666666666666,1.0
saffron,0.5,1.0,0.6666666666666666,1.0
star_anise,0.0,0.0,0.0,0.0
strawberry,1.0,0.5,0.6666666666666666,2.0
sweet_potato,1.0,0.5,0.6666666666666666,2.0
tomato,0.0,0.0,0.0,2.0
turnip,0.0,0.0,0.0,0.0
walnuts,0.0,0.0,0.0,2.0
accuracy,0.25,0.25,0.25,0.25
macro avg,0.18566666666666667,0.24666666666666665,0.18799999999999997,60.0
weighted avg,0.23805555555555558,0.25,0.21222222222222223,60.0
