sample_id,group,label,split
allspice_6.csv::w0,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,train
allspice_6.csv::w1,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,train
allspice_6.csv::w2,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,train
allspice_6.csv::w3,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,train
allspice_6.csv::w4,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,train
allspice_6.csv::w5,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,train
allspice_6.csv::w6,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,train
almond_6.csv::w0,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,train
almond_6.csv::w1,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,train
almond_6.csv::w2,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,train
almond_6.csv::w3,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,train
almond_6.csv::w4,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,train
almond_6.csv::w5,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,train
almond_6.csv::w6,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,train
angelica_6.csv::w0,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,train
angelica_6.csv::w1,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,train
angelica_6.csv::w2,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,train
angelica_6.csv::w3,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,train
angelica_6.csv::w4,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,train
angelica_6.csv::w5,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,train
angelica_6.csv::w6,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,train
apple_6.csv::w0,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,train
apple_6.csv::w1,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,train
apple_6.csv::w2,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,train
apple_6.csv::w3,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,train
apple_6.csv::w4,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,train
apple_6.csv::w5,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,train
apple_6.csv::w6,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,train
asparagus_6.csv::w0,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,train
asparagus_6.csv::w1,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,train
asparagus_6.csv::w2,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,train
asparagus_6.csv::w3,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,train
asparagus_6.csv::w4,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,train
asparagus_6.csv::w5,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,train
asparagus_6.csv::w6,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,train
avocado_6.csv::w0,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test
avocado_6.csv::w1,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test
avocado_6.csv::w2,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test
avocado_6.csv::w3,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test
avocado_6.csv::w4,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test
avocado_6.csv::w5,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test
avocado_6.csv::w6,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test
banana_6.csv::w0,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,train
banana_6.csv::w1,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,train
banana_6.csv::w2,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,train
banana_6.csv::w3,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,train
banana_6.csv::w4,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,train
banana_6.csv::w5,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,train
banana_6.csv::w6,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,train
brazil_nut_6.csv::w0,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test
brazil_nut_6.csv::w1,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test
brazil_nut_6.csv::w2,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test
brazil_nut_6.csv::w3,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test
brazil_nut_6.csv::w4,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test
brazil_nut_6.csv::w5,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test
brazil_nut_6.csv::w6,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test
broccoli_6.csv::w0,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,val
broccoli_6.csv::w1,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,val
broccoli_6.csv::w2,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,val
broccoli_6.csv::w3,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,val
broccoli_6.csv::w4,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,val
broccoli_6.csv::w5,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,val
broccoli_6.csv::w6,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,val
brussel_sprouts_6.csv::w0,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test
brussel_sprouts_6.csv::w1,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test
brussel_sprouts_6.csv::w2,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test
brussel_sprouts_6.csv::w3,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test
brussel_sprouts_6.csv::w4,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test
brussel_sprouts_6.csv::w5,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test
brussel_sprouts_6.csv::w6,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test
cabbage_6.csv::w0,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,train
cabbage_6.csv::w1,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,train
cabbage_6.csv::w2,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,train
cabbage_6.csv::w3,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,train
cabbage_6.csv::w4,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,train
cabbage_6.csv::w5,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,train
cabbage_6.csv::w6,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,train
cashew_6.csv::w0,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,train
cashew_6.csv::w1,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,train
cashew_6.csv::w2,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,train
cashew_6.csv::w3,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,train
cashew_6.csv::w4,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,train
cashew_6.csv::w5,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,train
cashew_6.csv::w6,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,train
cauliflower_6.csv::w0,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,val
cauliflower_6.csv::w1,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,val
cauliflower_6.csv::w2,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,val
cauliflower_6.csv::w3,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,val
cauliflower_6.csv::w4,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,val
cauliflower_6.csv::w5,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,val
cauliflower_6.csv::w6,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,val
chamomile_6.csv::w0,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,val
chamomile_6.csv::w1,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,val
chamomile_6.csv::w2,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,val
chamomile_6.csv::w3,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,val
chamomile_6.csv::w4,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,val
chamomile_6.csv::w5,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,val
chamomile_6.csv::w6,data\raw\SmellNet\base_data\testing\chamomile\chamomile_6.csv,chamomile,val
chervil_6.csv::w0,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,train
chervil_6.csv::w1,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,train
chervil_6.csv::w2,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,train
chervil_6.csv::w3,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,train
chervil_6.csv::w4,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,train
chervil_6.csv::w5,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,train
chervil_6.csv::w6,data\raw\SmellNet\base_data\testing\chervil\chervil_6.csv,chervil,train
chestnuts_6.csv::w0,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,train
chestnuts_6.csv::w1,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,train
chestnuts_6.csv::w2,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,train
chestnuts_6.csv::w3,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,train
chestnuts_6.csv::w4,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,train
chestnuts_6.csv::w5,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,train
chestnuts_6.csv::w6,data\raw\SmellNet\base_data\testing\chestnuts\chestnuts_6.csv,chestnuts,train
chives_6.csv::w0,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,train
chives_6.csv::w1,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,train
chives_6.csv::w2,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,train
chives_6.csv::w3,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,train
chives_6.csv::w4,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,train
chives_6.csv::w5,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,train
chives_6.csv::w6,data\raw\SmellNet\base_data\testing\chives\chives_6.csv,chives,train
cinnamon_6.csv::w0,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test
cinnamon_6.csv::w1,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test
cinnamon_6.csv::w2,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test
cinnamon_6.csv::w3,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test
cinnamon_6.csv::w4,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test
cinnamon_6.csv::w5,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test
cinnamon_6.csv::w6,data\raw\SmellNet\base_data\testing\cinnamon\cinnamon_6.csv,cinnamon,test
cloves_6.csv::w0,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,train
cloves_6.csv::w1,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,train
cloves_6.csv::w2,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,train
cloves_6.csv::w3,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,train
cloves_6.csv::w4,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,train
cloves_6.csv::w5,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,train
cloves_6.csv::w6,data\raw\SmellNet\base_data\testing\cloves\cloves_6.csv,cloves,train
coriander_6.csv::w0,data\raw\SmellNet\base_data\testing\coriander\coriander_6.csv,coriander,val
