,precision,recall,f1-score,support
allspice,0.1,0.1111111111111111,0.10526315789473684,9.0
almond,0.3333333333333333,1.0,0.5,9.0
angelica,0.38461538461538464,0.5555555555555556,0.45454545454545453,9.0
apple,0.0,0.0,0.0,9.0
asparagus,0.22857142857142856,0.8888888888888888,0.36363636363636365,9.0
avocado,1.0,0.2222222222222222,0.36363636363636365,9.0
banana,1.0,0.2222222222222222,0.36363636363636365,9.0
brazil_nut,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
broccoli,1.0,0.1111111111111111,0.2,9.0
brussel_sprouts,0.0,0.0,0.0,9.0
cabbage,0.9,1.0,0.9473684210526315,9.0
cashew,1.0,0.4444444444444444,0.6153846153846154,9.0
cauliflower,1.0,1.0,1.0,9.0
chamomile,0.0,0.0,0.0,9.0
chervil,0.0,0.0,0.0,9.0
chestnuts,0.875,0.7777777777777778,0.8235294117647058,9.0
chives,0.0,0.0,0.0,9.0
cinnamon,1.0,0.1111111111111111,0.2,9.0
cloves,0.5,1.0,0.6666666666666666,9.0
coriander,0.9,1.0,0.9473684210526315,9.0
cumin,0.2222222222222222,0.2222222222222222,0.2222222222222222,9.0
dill,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
garlic,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
ginger,1.0,0.7777777777777778,0.875,9.0
hazelnut,1.0,1.0,1.0,9.0
kiwi,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
lemon,0.0,0.0,0.0,9.0
mandarin_orange,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
mango,0.2608695652173913,0.6666666666666666,0.375,9.0
mint,0.0,0.0,0.0,9.0
mugwort,0.3333333333333333,0.1111111111111111,0.16666666666666666,9.0
mustard,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
nutmeg,0.6923076923076923,1.0,0.8181818181818182,9.0
oregano,0.0,0.0,0.0,9.0
peach,0.5714285714285714,0.8888888888888888,0.6956521739130435,9.0
peanuts,0.0,0.0,0.0,9.0
pear,0.5625,1.0,0.72,9.0
pecans,0.5294117647058824,1.0,0.6923076923076923,9.0
pili_nut,0.9,1.0,0.9473684210526315,9.0
pineapple,1.0,0.3333333333333333,0.5,9.0
pistachios,0.0,0.0,0.0,9.0
potato,0.6,0.6666666666666666,0.631578947368421,9.0
radish,1.0,1.0,1.0,9.0
saffron,1.0,0.7777777777777778,0.875,9.0
star_anise,1.0,1.0,1.0,9.0
strawberry,0.375,1.0,0.5454545454545454,9.0
sweet_potato,0.0,0.0,0.0,9.0
tomato,1.0,1.0,1.0,9.0
turnip,0.5625,1.0,0.72,9.0
walnuts,0.2857142857142857,0.4444444444444444,0.34782608695652173,9.0
accuracy,0.5311111111111111,0.5311111111111111,0.5311111111111111,0.5311111111111111
macro avg,0.5313105106033494,0.5311111111111111,0.4775446641466698,450.0
weighted avg,0.5313105106033496,0.5311111111111111,0.47754466414666974,450.0
