,precision,recall,f1-score,support
allspice,0.125,0.1111111111111111,0.11764705882352941,9.0
almond,0.2962962962962963,0.8888888888888888,0.4444444444444444,9.0
angelica,0.0,0.0,0.0,9.0
apple,0.0,0.0,0.0,9.0
asparagus,0.38095238095238093,0.8888888888888888,0.5333333333333333,9.0
avocado,0.2,0.1111111111111111,0.14285714285714285,9.0
banana,0.4,0.2222222222222222,0.2857142857142857,9.0
brazil_nut,0.8181818181818182,1.0,0.9,9.0
broccoli,1.0,0.4444444444444444,0.6153846153846154,9.0
brussel_sprouts,0.16666666666666666,0.1111111111111111,0.13333333333333333,9.0
cabbage,1.0,0.8888888888888888,0.9411764705882353,9.0
cashew,0.75,0.3333333333333333,0.46153846153846156,9.0
cauliflower,0.6,1.0,0.75,9.0
chamomile,0.0,0.0,0.0,9.0
chervil,0.42857142857142855,0.3333333333333333,0.375,9.0
chestnuts,0.7,0.7777777777777778,0.7368421052631579,9.0
chives,0.42857142857142855,0.3333333333333333,0.375,9.0
cinnamon,0.0,0.0,0.0,9.0
cloves,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
coriander,0.35294117647058826,0.6666666666666666,0.46153846153846156,9.0
cumin,0.5333333333333333,0.8888888888888888,0.6666666666666666,9.0
dill,0.3,0.3333333333333333,0.3157894736842105,9.0
garlic,0.625,0.5555555555555556,0.5882352941176471,9.0
ginger,0.5,0.7777777777777778,0.6086956521739131,9.0
hazelnut,0.42105263157894735,0.8888888888888888,0.5714285714285714,9.0
kiwi,1.0,0.8888888888888888,0.9411764705882353,9.0
lemon,0.0,0.0,0.0,9.0
mandarin_orange,0.4,0.2222222222222222,0.2857142857142857,9.0
mango,0.4,0.6666666666666666,0.5,9.0
mint,0.0,0.0,0.0,9.0
mugwort,1.0,0.2222222222222222,0.36363636363636365,9.0
mustard,1.0,0.8888888888888888,0.9411764705882353,9.0
nutmeg,0.5555555555555556,0.5555555555555556,0.5555555555555556,9.0
oregano,0.4,0.2222222222222222,0.2857142857142857,9.0
peach,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
peanuts,0.5,0.1111111111111111,0.18181818181818182,9.0
pear,0.6923076923076923,1.0,0.8181818181818182,9.0
pecans,0.45454545454545453,0.5555555555555556,0.5,9.0
pili_nut,1.0,0.6666666666666666,0.8,9.0
pineapple,1.0,0.4444444444444444,0.6153846153846154,9.0
pistachios,0.0,0.0,0.0,9.0
potato,0.75,1.0,0.8571428571428571,9.0
radish,1.0,1.0,1.0,9.0
saffron,1.0,0.6666666666666666,0.8,9.0
star_anise,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0
strawberry,0.4166666666666667,0.5555555555555556,0.47619047619047616,9.0
sweet_potato,0.625,0.5555555555555556,0.5882352941176471,9.0
tomato,0.75,0.6666666666666666,0.7058823529411765,9.0
turnip,0.42857142857142855,0.6666666666666666,0.5217391304347826,9.0
walnuts,0.5,0.4444444444444444,0.47058823529411764,9.0
accuracy,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333
macro avg,0.5202919714730859,0.5133333333333333,0.485867356495974,450.0
weighted avg,0.520291971473086,0.5133333333333333,0.48586735649597407,450.0
