sample_id,group,label,source_split,split
allspice_6.csv::w0,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w1,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w2,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w3,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w4,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w5,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w6,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w7,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
allspice_6.csv::w8,data\raw\SmellNet\base_data\testing\allspice\allspice_6.csv,allspice,test,test
almond_6.csv::w0,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w1,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w2,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w3,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w4,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w5,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w6,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w7,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
almond_6.csv::w8,data\raw\SmellNet\base_data\testing\almond\almond_6.csv,almond,test,test
angelica_6.csv::w0,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w1,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w2,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w3,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w4,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w5,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w6,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w7,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
angelica_6.csv::w8,data\raw\SmellNet\base_data\testing\angelica\angelica_6.csv,angelica,test,test
apple_6.csv::w0,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w1,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w2,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w3,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w4,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w5,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w6,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w7,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
apple_6.csv::w8,data\raw\SmellNet\base_data\testing\apple\apple_6.csv,apple,test,test
asparagus_6.csv::w0,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w1,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w2,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w3,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w4,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w5,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w6,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w7,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
asparagus_6.csv::w8,data\raw\SmellNet\base_data\testing\asparagus\asparagus_6.csv,asparagus,test,test
avocado_6.csv::w0,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w1,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w2,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w3,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w4,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w5,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w6,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w7,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
avocado_6.csv::w8,data\raw\SmellNet\base_data\testing\avocado\avocado_6.csv,avocado,test,test
banana_6.csv::w0,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w1,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w2,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w3,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w4,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w5,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w6,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w7,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
banana_6.csv::w8,data\raw\SmellNet\base_data\testing\banana\banana_6.csv,banana,test,test
brazil_nut_6.csv::w0,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w1,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w2,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w3,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w4,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w5,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w6,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w7,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
brazil_nut_6.csv::w8,data\raw\SmellNet\base_data\testing\brazil_nut\brazil_nut_6.csv,brazil_nut,test,test
broccoli_6.csv::w0,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w1,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w2,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w3,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w4,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w5,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w6,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w7,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
broccoli_6.csv::w8,data\raw\SmellNet\base_data\testing\broccoli\broccoli_6.csv,broccoli,test,test
brussel_sprouts_6.csv::w0,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w1,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w2,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w3,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w4,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w5,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w6,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w7,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
brussel_sprouts_6.csv::w8,data\raw\SmellNet\base_data\testing\brussel_sprouts\brussel_sprouts_6.csv,brussel_sprouts,test,test
cabbage_6.csv::w0,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w1,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w2,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w3,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w4,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w5,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w6,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w7,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cabbage_6.csv::w8,data\raw\SmellNet\base_data\testing\cabbage\cabbage_6.csv,cabbage,test,test
cashew_6.csv::w0,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w1,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w2,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w3,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w4,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w5,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w6,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w7,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cashew_6.csv::w8,data\raw\SmellNet\base_data\testing\cashew\cashew_6.csv,cashew,test,test
cauliflower_6.csv::w0,data\raw\SmellNet\base_data\testing\cauliflower\cauliflower_6.csv,cauliflower,test,test
